timestamp,approach,turn,length_ft,speed_mph,phase,light,seconds_of_light_state,seconds_since_green,recent_free_flow_speed_mph,calibration_free_flow_speed_mph,include_in_approach_data,zone_id
20210213T141126.1,W,S,11,18,0,PG,250437.03,250442.03,19,13,1,ae786812cad54f68aa98431607335574
20210213T141131.3,W,S,11,22,0,PG,250442.17,250447.17,19,13,1,ae786812cad54f68aa98431607335574
20210213T141205.8,W,S,11,12,0,PG,250476.50,250481.50,19,13,1,ae786812cad54f68aa98431607335574
20210213T141240.5,W,S,11,24,0,PG,250511.12,250516.12,19,13,1,ae786812cad54f68aa98431607335574
20210213T141247.5,W,S,11,21,0,PG,250518.06,250523.06,19,13,1,ae786812cad54f68aa98431607335574
20210213T141258.4,W,S,12,30,0,PG,250528.88,250533.88,19,13,1,ae786812cad54f68aa98431607335574
20210213T141301.3,W,S,11,28,0,PG,250531.79,250536.79,19,13,1,ae786812cad54f68aa98431607335574
20210213T141401.5,W,S,11,25,0,PG,250591.64,250596.64,19,13,1,ae786812cad54f68aa98431607335574
20210213T141405.6,W,S,11,24,0,PG,250595.74,250600.74,19,13,1,ae786812cad54f68aa98431607335574
20210213T141417.8,W,S,11,14,0,PG,250607.87,250612.87,19,13,1,ae786812cad54f68aa98431607335574
20210213T141413.4,W,S,11,20,0,PG,250603.52,250608.52,19,13,1,ae786812cad54f68aa98431607335574
20210213T141415.8,W,S,11,20,0,PG,250605.92,250610.92,19,13,1,ae786812cad54f68aa98431607335574
20210213T141420.3,W,S,11,19,0,PG,250610.42,250615.42,19,13,1,ae786812cad54f68aa98431607335574
20210213T141434.0,W,S,11,16,0,PG,250624.06,250629.06,19,13,1,ae786812cad54f68aa98431607335574
20210213T141455.6,W,S,13,20,0,PG,250645.48,250650.48,19,13,1,ae786812cad54f68aa98431607335574
20210213T141505.2,W,R,11,14,0,PG,250655.11,250660.11,19,13,1,ae786812cad54f68aa98431607335574
20210213T141523.2,W,S,13,10,0,PG,250673.00,250678.00,19,13,1,ae786812cad54f68aa98431607335574
20210213T141517.8,W,S,6,13,0,PG,250667.59,250672.59,19,13,1,ae786812cad54f68aa98431607335574
20210213T141528.0,W,S,11,1,0,PG,250677.81,250682.81,19,13,1,ae786812cad54f68aa98431607335574
20210213T141551.8,W,S,11,13,0,PG,250701.50,250706.50,19,13,1,ae786812cad54f68aa98431607335574
20210213T141605.5,W,S,11,18,0,PG,250715.14,250720.14,19,13,1,ae786812cad54f68aa98431607335574
20210213T141614.0,W,S,11,28,0,PG,250723.57,250728.57,19,13,1,ae786812cad54f68aa98431607335574
20210213T141656.9,W,S,11,14,0,PG,250766.38,250771.38,19,13,1,ae786812cad54f68aa98431607335574
20210213T141708.0,W,S,11,23,0,PG,250777.40,250782.40,19,13,1,ae786812cad54f68aa98431607335574
20210213T141716.2,W,S,6,19,0,PG,250785.51,250790.51,19,13,1,ae786812cad54f68aa98431607335574
20210213T141814.5,W,S,12,12,0,PG,250843.53,250848.53,19,13,1,ae786812cad54f68aa98431607335574
20210213T141827.6,W,S,11,18,0,PG,250856.63,250861.63,19,13,1,ae786812cad54f68aa98431607335574
20210213T141820.8,W,S,11,13,0,PG,250849.77,250854.77,19,13,1,ae786812cad54f68aa98431607335574
20210213T141823.3,W,S,11,16,0,PG,250852.26,250857.26,19,13,1,ae786812cad54f68aa98431607335574
20210213T141832.5,W,S,11,13,0,PG,250861.48,250866.48,19,13,1,ae786812cad54f68aa98431607335574
20210213T141924.5,W,S,11,10,0,PG,250913.24,250918.24,19,13,1,ae786812cad54f68aa98431607335574
20210213T141943.6,W,S,11,7,0,PG,250932.23,250937.23,19,13,1,ae786812cad54f68aa98431607335574
20210213T141927.2,W,S,11,3,0,PG,250915.87,250920.87,19,13,1,ae786812cad54f68aa98431607335574
20210213T141943.7,W,S,11,3,0,PG,250932.34,250937.34,19,13,1,ae786812cad54f68aa98431607335574
20210213T141951.1,W,S,11,11,0,PG,250939.65,250944.65,19,13,1,ae786812cad54f68aa98431607335574
20210213T141959.3,W,S,11,14,0,PG,250947.82,250952.82,19,13,1,ae786812cad54f68aa98431607335574
20210213T142002.5,W,L,11,13,0,PG,250951.04,250956.04,19,13,1,ae786812cad54f68aa98431607335574
20210213T142036.5,W,S,11,9,0,PG,250984.83,250989.83,19,13,1,ae786812cad54f68aa98431607335574
20210213T142030.5,W,S,11,16,0,PG,250978.89,250983.89,19,13,1,ae786812cad54f68aa98431607335574
20210213T142036.7,W,S,11,9,0,PG,250985.05,250990.05,19,13,1,ae786812cad54f68aa98431607335574
20210213T142101.1,W,S,11,5,0,PG,251009.30,251014.30,19,13,1,ae786812cad54f68aa98431607335574
20210213T142145.1,W,S,11,18,0,PG,251053.13,251058.13,19,13,1,ae786812cad54f68aa98431607335574
20210213T142214.4,W,S,11,2,0,PG,251082.33,251087.33,19,13,1,ae786812cad54f68aa98431607335574
20210213T142220.0,W,S,11,0,0,PG,251087.83,251092.83,19,13,1,ae786812cad54f68aa98431607335574
20210213T142214.8,W,S,13,7,0,PG,251082.74,251087.74,19,13,1,ae786812cad54f68aa98431607335574
20210213T142322.5,W,S,11,9,0,PG,251150.06,251155.06,19,13,1,ae786812cad54f68aa98431607335574
20210213T142325.9,W,S,11,3,0,PG,251153.49,251158.49,19,13,1,ae786812cad54f68aa98431607335574
20210213T142350.2,W,S,11,11,0,PG,251177.57,251182.57,19,13,1,ae786812cad54f68aa98431607335574
20210213T142334.7,W,S,11,3,0,PG,251162.14,251167.14,19,13,1,ae786812cad54f68aa98431607335574
20210213T142341.6,W,S,11,6,0,PG,251169.01,251174.01,19,13,1,ae786812cad54f68aa98431607335574
20210213T142346.1,W,S,11,9,0,PG,251173.54,251178.54,19,13,1,ae786812cad54f68aa98431607335574
20210213T142352.7,W,S,11,14,0,PG,251180.09,251185.09,19,13,1,ae786812cad54f68aa98431607335574
20210213T142419.5,W,S,11,17,0,PG,251206.80,251211.80,19,13,1,ae786812cad54f68aa98431607335574
20210213T142443.2,W,S,11,24,0,PG,251230.39,251235.39,19,13,1,ae786812cad54f68aa98431607335574
20210213T142446.9,W,S,12,20,0,PG,251234.00,251239.00,19,13,1,ae786812cad54f68aa98431607335574
20210213T142458.3,W,S,11,16,0,PG,251245.42,251250.42,19,13,1,ae786812cad54f68aa98431607335574
20210213T142553.7,W,S,11,11,0,PG,251300.51,251305.51,19,13,1,ae786812cad54f68aa98431607335574
20210213T142557.9,W,S,11,3,0,PG,251304.73,251309.73,19,13,1,ae786812cad54f68aa98431607335574
20210213T142622.1,W,S,11,3,0,PG,251328.77,251333.77,19,13,1,ae786812cad54f68aa98431607335574
20210213T142603.4,W,S,11,1,0,PG,251310.11,251315.11,19,13,1,ae786812cad54f68aa98431607335574
20210213T142629.8,W,S,11,9,0,PG,251336.39,251341.39,19,13,1,ae786812cad54f68aa98431607335574
20210213T142627.2,W,S,11,9,0,PG,251333.79,251338.79,19,13,1,ae786812cad54f68aa98431607335574
20210213T142632.6,W,S,11,12,0,PG,251339.25,251344.25,19,13,1,ae786812cad54f68aa98431607335574
20210213T142636.0,W,S,11,12,0,PG,251342.56,251347.56,19,13,1,ae786812cad54f68aa98431607335574
20210213T142715.0,W,S,11,19,0,PG,251381.42,251386.42,19,13,1,ae786812cad54f68aa98431607335574
20210213T142718.0,W,S,11,24,0,PG,251384.44,251389.44,19,13,1,ae786812cad54f68aa98431607335574
20210213T142722.5,W,S,11,24,0,PG,251388.91,251393.91,19,13,1,ae786812cad54f68aa98431607335574
20210213T142759.3,W,S,11,18,0,PG,251425.46,251430.46,19,13,1,ae786812cad54f68aa98431607335574
20210213T142820.5,W,S,11,15,0,PG,251446.64,251451.64,19,13,1,ae786812cad54f68aa98431607335574
20210213T142825.3,W,S,11,13,0,PG,251451.37,251456.37,19,13,1,ae786812cad54f68aa98431607335574
20210213T142828.9,W,S,11,18,0,PG,251455.00,251460.00,19,13,1,ae786812cad54f68aa98431607335574
